fiches_nr,libéllé(s),illustration(s),localisation,inscription,catégorie(s),état,notice
63072-INV-0126-01,Habitation,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0126-01/63072-INV-0126-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0126-01/63072-INV-0126-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0126-01/63072-INV-0126-01-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0126-01/63072-INV-0126-01-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0126-01/63072-INV-0126-01-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0126-01/63072-INV-0126-01-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0126-01/63072-INV-0126-01-PHOT-07-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0126-01/63072-INV-0126-01-PHOT-08-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0126-01/63072-INV-0126-01-PHOT-09-01.jpg___,"Adresse principale : Avenue Reine Astrid 47, SPA (Spa)",Bien inscrit comme : Monument,Domestique,État à la date de la prospection : Bon,"À l'angle de l'avenue Reine Astrid et de la rue du Fourneau, imposante maison de style éclectique vraisemblablement édifiée dans la seconde moitié du 19e siècle. Précédée d'un petit jardinet clôturé par un muret en calcaire et des grilles en fonte et fer forgé, la bâtisse en briques et calcaire présente une façade principale de trois travées éclairée par des baies rectangulaires, certaines à meneau, sur deux niveaux. Une élégante veranda prolongée par une marquise en métal et verre est accolée à l'angle droit de la maison. Toit à deux versants d'ardoises percé de deux lucarnes en bâtière et interrompue par la lucarne-pignon couronnant la travée centrale de la façade principale.

BD"
63072-INV-0127-01,Habitation,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0127-01/63072-INV-0127-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0127-01/63072-INV-0127-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0127-01/63072-INV-0127-01-PHOT-03-01.jpg___,"Adresse principale : Rue du Fourneau 4, SPA (Spa)",Bien inscrit comme : Monument,Domestique,État à la date de la prospection : Bon,"À front de rue et accessible par une petite porte en bois surmontée d'un arc en bois décoratif d'inspiration Art Nouveau, maison en briques, calcaire et pan de bois édifiée dans la seconde moitié du 19e siècle. Le style néo-traditionnel de la façade en pan de bois mêlé au style villégiature caractérisé par la logette en bois de la façade à rue, les encadrements des baies moulurés et la toiture débordante, confèrent à la bâtisse un caractère pittoresque. Toit à deux versants d'ardoises à fort débord reposant sur des consoles en bois moulurées. Nombreux détails en bois mouluré au balcon et dans les fermes débordantes.

BD"
63072-INV-0128-01,Boîte aux lettres,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0128-01/63072-INV-0128-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0128-01/63072-INV-0128-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0128-01/63072-INV-0128-01-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0128-01/63072-INV-0128-01-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0128-01/63072-INV-0128-01-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0128-01/63072-INV-0128-01-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0128-01/63072-INV-0128-01-PHOT-07-01.jpg___,"Adresse principale : Avenue Reine Astrid 1 (en face), SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Moyen,"Adossée au pavillon des petits jeux à l'entrée du parc de Sept Heures, boîte au lettres en fonte peinte en rouge, de type prismatique, de style éclectique dont le décor est d'inspiration néo-classique. Mis en service en 1897 en Belgique, ce modèle porte la marque de fabrique de la fonderie J. G. Réquilé de Liège. Boîte au lettres toujours utilisée. 

BD

Bibliographie

FARRUGIA J. Y., 1969. The letter box. A history of post office. Pillar and wall boxes. Fontwell Sussex, Centaur Press Ltd, p. 207-208."
63072-INV-0129-01,Monument aux morts (monument du 4e lanciers -),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0129-01/63072-INV-0129-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0129-01/63072-INV-0129-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0129-01/63072-INV-0129-01-PHOT-03-01.jpg___,"Adresse principale : Place Royale 31 (en face), SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"Au centre de la place Royale, monument au morts du 4e lanciers en pierre blanche probablement édifié dans les années 1920 dans un style épuré teinté d'Art Déco. Sur un socle de section rectangulaire, statue monumentale représentant un soldat assis sur un cheval et portant un drapeau. Les parois latérales du socle portent les noms de soldat morts aux combats; à la base des panneaux, décor stylisé teinté d'Art Déco.

BD

Bibliographie

JOSEPH M., 2007, La Ville de Spa glorifie ses héros. Balade de la Gloire à la Mémoire, Spa, Centre culturel de Spa, p. 9."
63072-INV-0130-01,Station météorologique (station météo),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0130-01/63072-INV-0130-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0130-01/63072-INV-0130-01-PHOT-02-01.jpg___,"Adresse principale : Place Royale 27 (en face), SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"Au centre de la place Royale, station météo de style éclectique édifiée à la fin du 19e siècle. Petite construction de section carrée réalisée en fonte peinte en vert et coiffée d'un toit en pavillon sommé d'un épis. L'ensemble abrite un hygromètre, un baromètre, un thermomètre, une horloge ainsi qu'une table de concordance de l'heure à Spa par rapport à celles de différentes villes du monde.

BD"
63072-INV-0131-01,Hôtel de voyageurs (hôtel de limbourg),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0131-01/63072-INV-0131-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0131-01/63072-INV-0131-01-PHOT-02-01.jpg___,"Adresse principale : Place Royale 21-23 (impairs), SPA (Spa)",Bien inscrit comme : Monument,Economique,État à la date de la prospection : Bon,"En bordure de la place Royale, l'hôtel Cardinal, occupé au 19e siècle par l'hôtel de Limbourg, est un immeuble de style éclectique édifié dans la seconde moitié du 19e siècle. Construction en briques et calcaire présentant une façade enduite et peinte de cinq travées de trois niveaux. La travée axiale, en léger ressaut, est cantonnée de pilastres à refends de même que les bords de la façade; balcon à garde-corps en ferronnerie au deuxième étage. Percements à encadrements rectangulaires moulurés et clé passante sculptée; appuis saillants prolongés en bandeau continu. Toit brisé d'asbeste-ciment percé de lucarnes à fronton mouluré et corniche saillante reposant sur de hautes consoles sculptées. Rez-de-chaussée transformé au 20e siècle sans intérêt. 
Aujourd'hui englobée dans l'hôtel, les deux maisons voisines sises aux numéros 25 et 27 présentent des façades de la même époque mais plus simples et exhaussées d'un niveau au 20e siècle.

BD

Bibliographie

JOSEPH M., 2005. Douces nuits. Les enseignes hôtelières à Spa, Spa, p. 77-78"
63072-INV-0132-01,Escalier,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0132-01/63072-INV-0132-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0132-01/63072-INV-0132-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0132-01/63072-INV-0132-01-PHOT-03-01.jpg___,"Adresse principale : Rue du Thier, SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"Reliant la rue de la Chapelle et la ruelle du Pied du Thier, intéressant escalier probablement édifié au début du 20e siècle dans le haut de la rue du Thier. Bordé par des murets en moellons de grès et des grilles en fer forgé, escalier en pas d'âne dont les marches sont réalisées en pavés de grès limités par une contremarche en calcaire. Au centre de l'ouvrage, une rampe en fer forgé de la même époque.

BD"
63072-INV-0133-01,Villa (villa henrard),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-07-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-08-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-09-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0133-01/63072-INV-0133-01-PHOT-10-01.jpg___,"Adresse principale : Rue de la Chapelle 1-3 (impairs), SPA (Spa)",Bien inscrit comme : Monument,Domestique,État à la date de la prospection : Bon,"En bordure du chemin de fer, en retrait dans un jardin clôturé par un muret et des grilles, imposante villa edifiée vers 1882 pour la famille Henrard-Richard puis transformée et agrandie en 1899 d'après des plans de l'architecte spadois William Hansen. Construction en briques et calcaire recouverte d'un cimentage de style éclectique teinté de néo-classicisme et agrémentée de balcons et d'une toiture au décor évoquant le style villégiature. Haute bâtisse de trois niveaux percée de baies à linteau bombé sur trois niveaux. La travée axiale est couronnée par une lucarne fronton dont le toit à deux versant à fort débord est agréménté d'une ferme débordante à décor de ferronnerie; de part et d'autre, deux lucarne en bâtière plus simples. Aux deux étages, les baies ouvrent sur deux larges balcons supperposés supportés par des colonnettes en fonte et pourvus de gardes-corps en fer forgé. Toit à deux versants d'ardoises à fort débord soutenu par des consoles de bois et à ferme débordantes agrémentée de motifs décoratifs en fer forgé. Dans le prolongement de la façade à droite, une tourelle d'angle coiffée d'un toit en pavillon sommé d'un épis représentant un coq en zinc.
À l'arrière, ancienne dépendance en briques et calcaire abritant peut-être autrefois le logis d'un domestique et un garage à voiture; toit à deux versants de tuiles en S.

BD

Bibliographie

SCHILS M. C., 1999. Exposition d'été. William et Marcel Hansen. Reflets de l'architecture moderne, Histoire et archéologie spadoises, Spa, Villa royale Marie-Henriette, 98,  p. 53.

BOUCHOMS A. (coord.), 2003, De Villas en Châteaux par Avenues et Boulevards, Spa (Connaître Spa,7), p. 63."
63072-INV-0134-01,Villa (la primavera),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-07-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-08-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-09-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0134-01/63072-INV-0134-01-PHOT-10-01.jpg___,"Adresse principale : Rue de la Chapelle 2-4 (pairs), SPA (Spa)",Bien inscrit comme : Monument,Domestique,État à la date de la prospection : Bon,"Installée dans un vaste jardin ceinturé par un haut mur de briques épousant l’angle formé par les rues Albin Body et de la Chapelle, intéressante villa de la fin du 19e siècle dont le style villégiature à caractère pittoresque est encore empreint d’éclectisme dans ses percements. Dénommée «La Primavera», la bâtisse marque visuellement l’entrée de la rue de la Chapelle avec la maison voisine située au numéros 1-3 de l’autre côté de la rue. Érigée en moellons de grès, briques et calcaire, la villa conserve encore, malgré quelques remaniements, des détails caractéristiques de l’architecture de villégiature tels l’oriel à cinq pans de la façade pignon côté jardin, la tourelle d’entrée signalant la façade principale tournée vers le jardin, un petit balcon de bois à garde-corps ouvragé mais aussi la toiture à fort débord reposant sur d’importants aisseliers de bois. Bordant la rue de la Chapelle, une ancienne dépendance en pan de bois peut-être plus ancienne est aujourd’hui transformée en habitation. 
L’ensemble est accessible par un portail à arc cintré à encadrement de calcaire percé dans le mur de clôture et protégé par un petit auvent. 


BD

Bibliographie

BOUCHOMS A. (coord.), 2003, De Villas en Châteaux par Avenues et Boulevards, Spa (Connaître Spa,7), p. 65."
63072-INV-0135-01,Habitation,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0135-01/63072-INV-0135-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0135-01/63072-INV-0135-01-PHOT-02-01.jpg___,"Adresse principale : Ruelle du Pied du Thier 2-4 (pairs), SPA (Spa)",Bien inscrit comme : Monument,Domestique,État à la date de la prospection : Bon,"À l’entrée de la ruelle du Pied du Thier, intéressante annexe de style Art Déco accolée dans les années 1930 à la façade d’une maison de la seconde moitié du 19e siècle. Recouvert d’un enduit clair, le volume parallélipipédique à toiture plate aménagée en terrasse, se signale par ses gardes-corps en fer forgé à motifs géométriques caractéristiques et par l‘ensemble de ses châssis en bois d’origine agrémentés de verres colorés dans leurs parties dormantes; la partie vitrée de la porte d’entrée est protégée par une grille en fer forgé de même facture que les gardes-corps. La réalisation de cette annexe pourrait être attribuée à l'architecte J. Montulet, auteur des plans de l'hôtel du Trianon, au numéro 10 de la rue du Waux-Hall, et dont la parenté des détails stylistiques semble évidente.


BD"
63072-INV-0136-01,Lavoir,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0136-01/63072-INV-0136-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0136-01/63072-INV-0136-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0136-01/63072-INV-0136-01-PHOT-03-01.jpg___,"Adresse principale : Rue de Barisart 125 (à côté), SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Moyen,"En contrebas de la rue de Barisart et accessible par un escalier, ancien lavoir aménagé à la fin du 19e siècle sur le rive droite du ruisseau de Barisart. À l'origine, une partie du ruisseau était canalisée au moyen de pierres et de rondins de bois afin d'aménager un ""bac"" où les dames du quartier ainsi que des blanchisseuses professionnelles pouvaient  venir laver leur linge. Ce bac fut cimenté par la suite et est aujourd'hui inutilisé.

BD

Bibliographie

JEHIN P. (dir.), 2000, À la découverte des anciens lavoirs de Spa, Spa, Édition du Musée de la lessive et de la vie des lavandières, p. 7 et 55-56."
63072-INV-0137-01,Pont,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0137-01/63072-INV-0137-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0137-01/63072-INV-0137-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0137-01/63072-INV-0137-01-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0137-01/63072-INV-0137-01-PHOT-04-01.jpg___,"Adresse principale : Rue de Barisart 125 (à droite), SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"Probablement édifié dans le courant du 19e siècle, petit pont en moellons de grès, schiste et calcaire enjambant le ruisseau de Barisart. Composé d'un seule arche en moellons de schiste, l'accès au pont se signale par deux piliers de section carré en calcaire.

BD"
63072-INV-0138-01,Loge maçonnique,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0138-01/63072-INV-0138-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0138-01/63072-INV-0138-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0138-01/63072-INV-0138-01-PHOT-03-01.jpg___,"Adresse principale : Rue J. Lezaak 13, SPA (Spa)",Bien inscrit comme : Monument,Philosophique,État à la date de la prospection : Bon,"En bordure de la ligne de chemin de fer, la loge maçonnique de Spa est une construction de style éclectique édifiée en 1908. La façade à rue en briques recouverte d'un cimentage simulant des refends est percée de baies à appuis de calcaire. Le portail d'entrée est pourvu d'un encadrement de calcaire en fort ressaut d'aspect massif et monumental. À l'étage, une grande baie cintrée. Toit à deux versants de tuiles.

BD

Bibliographie

BOUCHOMS A., s.d. Les lieux de culte à Spa, Spa, Centre culturel de Spa."
63072-INV-0139-01,Habitation,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0139-01/63072-INV-0139-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0139-01/63072-INV-0139-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0139-01/63072-INV-0139-01-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0139-01/63072-INV-0139-01-PHOT-04-01.jpg___,"Adresse principale : Place Verte 49-51 (impairs), SPA (Spa)",Bien inscrit comme : Monument,"Domestique, Economique",État à la date de la prospection : Bon,"Au centre et dans le haut de la place Verte, épousant l'angle de la rue Collin-Leloup, intéressante maison de style éclectique vraisemblablement aménagée à la fin du 19e siècle, peut-être au départ d'un noyau plus ancien, et agrémentée d'un enduit décoratif peint  teinté d'Art Nouveau au début du 20e siècle. Construction de deux niveaux éclairée par des baies à linteau bombé et appui saillant. Toit brisé à croupes.

BD"
63072-INV-0140-01,Habitation - magasin,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0140-01/63072-INV-0140-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0140-01/63072-INV-0140-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0140-01/63072-INV-0140-01-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0140-01/63072-INV-0140-01-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0140-01/63072-INV-0140-01-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0140-01/63072-INV-0140-01-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0140-01/63072-INV-0140-01-PHOT-07-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0140-01/63072-INV-0140-01-PHOT-08-01.jpg___,"Adresse principale : Place Verte 53-59 (impairs), SPA (Spa)",Bien inscrit comme : Monument,"Domestique, Economique",État à la date de la prospection : Bon,"Constituant une partie de l'îlot bâti du haut de la place Verte, intéressantes maisons jumelles de style éclectique édifiées à la fin du 19e siècle. Elles présentent leurs façades principales du côté de la place Verte et leurs façades arrières vers la rue Collin-Leloup. Constructions en briques badigeonnées en rouge et calcaire sur un rez-de-chaussée entièrement de calcaire comprenant une entrée de magasin flanquée de deux grandes vitrines ainsi qu'une entrée donnant accès à l'habitation de l'étage. Les trois travées sont percées de baies à linteau bombé, en briques et angle de calcaire souligné par un cordon mouluré de calcaire, et appui saillant aux deux étages; la baie axiale du premier étage ouvre sur un petit balcon en calcaire pourvu d'un garde-corps en fer forgé. Les parties en calcaire sont agrémentées de nombreux motifs décoratifs gravés. Toit brisé.
Les façades arrières sont de même style mais plus simples.

BD"
63072-INV-0141-01,Habitation,N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0141-01/63072-INV-0141-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0141-01/63072-INV-0141-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0141-01/63072-INV-0141-01-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0141-01/63072-INV-0141-01-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0141-01/63072-INV-0141-01-PHOT-05-01.jpg___,"Adresse principale : Rue Albin Body 37-39 (impairs), SPA (Spa)",Bien inscrit comme : Monument,Domestique,État à la date de la prospection : Bon,"Parallèle et mitoyenne, deux élégantes maisons jumelles de style éclectique d'inspiration néo-classique édifiée dans le troisième tiers du 19e siècle; le numéro 39 daté de 1887 de part et d'autre de deux lettres entrelacées. Constructions en briques enduites et peintes et calcaire dont le rez-de-chaussée entièrement de calcaire est appareillé à bossages. Façades de trois travées percées sur trois niveaux de baies à linteau échancré au rez-de-chaussée et rectangulaires aux étages; la baie axiale du premier niveau ouvrant sur un balcon pourvu d'un élégant garde-corps en fer forgé et couronnée par un fronton triangulaire  daté de 1887 au no 39 et une fronton courbe au no 37. 

BD"
63072-INV-0142-01,École (institut saint-roch),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0142-01/63072-INV-0142-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0142-01/63072-INV-0142-01-PHOT-02-01.jpg___,"Adresse principale : Rue Albin Body 51, SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"À front de rue, l'institut Saint-Roch est une construction de style moderniste probablement édifiée en 1936 d'après des plans de l'architecte spadois Oscar Bertholet. Long bâtiment en briques, calcaire, béton et grès présentant un rez-de-chaussée en calcaire et moellons de grès et deux étages en briques et éclairés par des baies rectangulaires jointives accentuant le rythme horizontalisant de la façade. À droite, la travée d'entrée plus large, correspondant à la cage d'escalier, est éclairée par deux hautes baies jumelées qui lui impriment un rythme vertical. Toit Plat.
Dans le prolongement de la façade à gauche, deux travées du début du 20e siècle de style néo-traditionnel.

BD


Bibliographie

BOUCHOMS A. (coord.), 2003, De Villas en Châteaux par Avenues et Boulevards, Spa (Connaître Spa,7), p. 11."
63072-INV-0143-01,École (institut sainte-croix),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0143-01/63072-INV-0143-01-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0143-01/63072-INV-0143-01-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0143-01/63072-INV-0143-01-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0143-01/63072-INV-0143-01-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0143-01/63072-INV-0143-01-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0143-01/63072-INV-0143-01-PHOT-06-01.jpg___,"Adresse principale : Rue Albin Body 55, SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"Située dans le haut de la rue Albin Body, l’ancien pensionnat pour jeunes filles ouvert par les Filles de la Croix en 1862, remplacé quelques années plus tard par l’école Sainte-Croix, est occupé depuis 1890 par l’Institut Saint-Michel aujourd’hui connu sous le vocable Asbl Saint-Michel, un institut médico-pédagogique pour enfants et adolescents en difficulté.
Implanté en retrait dans une cour clôturée par un haut mur de briques entre piliers, l’ancien pensionnat des Filles de la Croix est une imposante construction en briques, calcaire et tuffeau de style éclectique disposée selon un plan en L.
Au fond de la cour, le corps principal se signale par les deux tours d’angle de plans carré couronnant les travées latérales, celle de droite abritant autrefois un clocher.
Les cinq niveaux de hauteurs dégressive sont soulignés par les appuis des baies prolongés en bandeaux continus. L’ensemble est percé de baies à encadrement rectangulaire dont les piédroits, simulant des pilastres, supportent un linteau mouluré. Des frises d’arcature et sur gouttes en tuffeau soulignent les toitures. Dans l'axe, la porte d'entrée présente un linteau portant le chronogramme: ""CrUCe saLUs aC reDeMptIo"" donnant la date de 1861, correspondant vraisemblablement à l'année de construction du bâtiment.
En retour d’angle vers la rue, la seconde aile présente deux niveaux semblables à ceux du corps principal, surmontés d’un haut niveau essenté de zinc et percé de baies cintrées. Cet étage abritait autrefois la chapelle de l’Institut Sainte-Croix aujourd’hui disparue.

BD


Bibliographie

BOUCHOMS A., s.d. Les lieux de culte à Spa, Spa, Centre culturel de Spa, notice 10.

BOUCHOMS A. (coord.), 2003, De Villas en Châteaux par Avenues et Boulevards, Spa (Connaître Spa,7), p. 11-12.

JACOB G.-E., 1983. Rues et promenades de Spa. Pages d'histoire locale, Bruxelles, Éditions Culture et Civilisations, p. 59."
